Telaio	Status	Modello	Data Gated In	Data Consegna	Tecnico	Carrozzeria 1	Carrozzeria extra	Bisarchista	1	2	3	4	5	6	7	8	9	10	Note
J7577118	NU-NuovoMezzo	GIULIA																	
K7596205	NU-NuovoMezzo	GIULIA							FANALE POST DX+SX (PORTELLONE)										
K7596821	NU-NuovoMezzo	GIULIA							MOD LATO DX ANT/POST	FANALE POST DX COFANO									
K7608317	NU-NuovoMezzo	GIULIA							LUNOTTO	CAPPELLIERA	FANALE POST DX								
K7610014	NU-NuovoMezzo	GIULIA							FANALE POST SX (PA)	CALOTTA  SX	MOD LATO DX ANT/POST	MOD LATO SX INF A							
KPJ02979	NU-NuovoMezzo	RENEGADE							3° STOP										
KPJ06335	NU-NuovoMezzo	RENEGADE							CALOTTA  SX + DX	FRECCIA DX	3° STOP	FANALE POST DX	TAPPO CORRIMANO MANCANTE						
KPJ12042	NU-NuovoMezzo	RENEGADE							3° stop	FANALE POST SX	FRECCIA SX								
KPJ22313	NU-NuovoMezzo	RENEGADE							PARABREZZA	3° STOP									
KPJ24105	NU-NuovoMezzo	RENEGADE																	
KPJ24137	NU-NuovoMezzo	RENEGADE							BASE ANTENNA	FRECCIA DX									
KPJ24560	NU-NuovoMezzo	RENEGADE							3° stop										
KPJ25493	NU-NuovoMezzo	RENEGADE																	
KPJ25832	NU-NuovoMezzo	RENEGADE							FRECCIA SX	FANALE POST SX	3° STOP								
KPJ26345	NU-NuovoMezzo	RENEGADE							TERGICRISTALLO POST										
KPJ27262	NU-NuovoMezzo	RENEGADE							FANALE POST. SX										
KPJ27393	NU-NuovoMezzo	RENEGADE							3° stop	freccia sx									
KPJ27972	NU-NuovoMezzo	RENEGADE							PARABREZZA										
KPJ29096	NU-NuovoMezzo	RENEGADE							CALOTTA  SX										
KPJ29804	NU-NuovoMezzo	RENEGADE							FRECCIA SX	VETRO MOD POST SX	3° STOP								
KPJ30029	NU-NuovoMezzo	RENEGADE							3° STOP										
KPJ30636	NU-NuovoMezzo	RENEGADE							PARABREZZA										
KPJ30658	NU-NuovoMezzo	RENEGADE							FRECCIA SX	PARABREZZA									
KPJ31962	NU-NuovoMezzo	RENEGADE							3° stop	PARABREZZA									
KPJ34648	NU-NuovoMezzo	RENEGADE																	
KPJ35274	NU-NuovoMezzo	RENEGADE							FANALE POST. SX										
KPJ37657	NU-NuovoMezzo	RENEGADE							CALOTTA  DX	PARABREZZA									
KPJ42646	NU-NuovoMezzo	RENEGADE																	LUNOTTO
KPJ43799	NU-NuovoMezzo	RENEGADE							PARABREZZA	CALOTTA  DX									
KPJ44649	NU-NuovoMezzo	RENEGADE							PARABREZZA										
KPJ44868	NU-NuovoMezzo	RENEGADE							CALOTTA  SX										
KPJ44868	NU-NuovoMezzo	RENEGADE							TELAIO DOPPIO										
KPJ44992	NU-NuovoMezzo	RENEGADE																	
KPJ45171	NU-NuovoMezzo	RENEGADE							CALOTTA  SX										
KPJ45211	NU-NuovoMezzo	RENEGADE							CALOTTA  DX										
KPJ45256	NU-NuovoMezzo	COMPASS							FANALE POST SX	3° STOP									
KPJ45613	NU-NuovoMezzo	RENEGADE							PARABREZZA	CALOTTA  SX									
KPJ46085	NU-NuovoMezzo	RENEGADE							CALOTTA  SX										
KPJ46237	NU-NuovoMezzo	RENEGADE							PARABREZZA	FRECCIA DX									
KPJ46405	NU-NuovoMezzo	RENEGADE							SPORTELLO CARBURANTE	FRECCIA DX									
KPJ46469	NU-NuovoMezzo	RENEGADE							BASE ANTENNA										
KPJ46844	NU-NuovoMezzo	RENEGADE																	
KPJ47206	NU-NuovoMezzo	RENEGADE							3° stop										
KPJ47646	NU-NuovoMezzo	RENEGADE							LUNOTTO										LUNOTTO
KPJ48706	NU-NuovoMezzo	RENEGADE							CALOTTA  SX	FANALE POST SX									
KPJ49502	NU-NuovoMezzo	RENEGADE							FRECCIA DX	3° STOP									
KPJ49632	NU-NuovoMezzo	RENEGADE																	
KPJ50420	NU-NuovoMezzo	RENEGADE							PARABREZZA	FRECCIA SX									
KPJ50642	NU-NuovoMezzo	RENEGADE							CALOTTA  SX	FANALE POST SX									
KPJ51230	NU-NuovoMezzo	RENEGADE							PARABREZZA	FRECCIA LATO SX + DX	3° STOP								
KPJ52115	NU-NuovoMezzo	RENEGADE							3° STOP	CALOTTA  DX									
KPJ52142	NU-NuovoMezzo	RENEGADE							PARABREZZA										
KPJ52532	NU-NuovoMezzo	RENEGADE																	
KPJ53343	NU-NuovoMezzo	RENEGADE							3° STOP										
KPJ53831	NU-NuovoMezzo	RENEGADE							PARABREZZA	3° STOP	CORRIMANO SX								
KPJ54615	NU-NuovoMezzo	RENEGADE							FRECCIA DX										
KPJ57195	NU-NuovoMezzo	RENEGADE																	
KPJ57545	NU-NuovoMezzo	RENEGADE																	
KPJ57799	NU-NuovoMezzo	RENEGADE																	
KPJ58613	NU-NuovoMezzo	RENEGADE																	
KPJ64978	NU-NuovoMezzo	RENEGADE							PARABREZZA										
KPJ65170	NU-NuovoMezzo	RENEGADE																	
KPJ65437	NU-NuovoMezzo	RENEGADE							PARABREZZA	CALOTTA  DX									
KPJ67212	NU-NuovoMezzo	RENEGADE																	
KPJ67639	NU-NuovoMezzo	RENEGADE							FRECCIA LATO SX	PARABREZZA									
KPJ67696	NU-NuovoMezzo	RENEGADE							FANALE POST. SX	3° STOP	CALOTTA  Sx								
KPJ68436	NU-NuovoMezzo	RENEGADE							PARABREZZA										
KPJ68462	NU-NuovoMezzo	RENEGADE							PARABREZZA	CALOTTA  dx	3° luce post. Dx	faro post dx							
KPJ68700	NU-NuovoMezzo	RENEGADE							PARABREZZA	FRECCIA DX									
KPJ68722	NU-NuovoMezzo	RENEGADE							CALOTTA  DX										
KPJ68852	NU-NuovoMezzo	RENEGADE							FANALE POST. SX	3° STOP									
KPJ69383	NU-NuovoMezzo	RENEGADE							CALOTTA  SX										
KPJ69853	NU-NuovoMezzo	RENEGADE																	
KPJ76802	NU-NuovoMezzo	RENEGADE																	
KPJ82508	NU-NuovoMezzo	RENEGADE							LUNOTTO	3° STOP									LUNOTTO
KPJ94932	NU-NuovoMezzo	RENEGADE							PARABREZZA										
KPJ95103	NU-NuovoMezzo	RENEGADE																	
KPJ97424	NU-NuovoMezzo	RENEGADE							3° STOP										
KPK00142	NU-NuovoMezzo	RENEGADE																	
KPK12277	NU-NuovoMezzo	RENEGADE																	
KPK14034	NU-NuovoMezzo	RENEGADE																	
KPK16769	NU-NuovoMezzo	RENEGADE							3° STOP	CALOTTA  SX									
KPK17288	NU-NuovoMezzo	RENEGADE							SPORTELLO CARBURANTE	CALOTTA  DX									
KPK17900	NU-NuovoMezzo	RENEGADE							PARABREZZA	FRECCIA SX									
KPK18372	NU-NuovoMezzo	RENEGADE							spazzola COFANO POST										
KPK18782	NU-NuovoMezzo	RENEGADE							LUNOTTO	3									
KPK19388	NU-NuovoMezzo	RENEGADE							3° STOP	MOD LATO SX A GUARNIZIONE									
KPK19595	NU-NuovoMezzo	RENEGADE							PARABREZZA	CALOTTA  DX									
KPK20396	NU-NuovoMezzo	RENEGADE							tergicristallo mancante	51									
KPK20493	NU-NuovoMezzo	RENEGADE							FANALE POST SX										
KPK32092	NU-NuovoMezzo	RENEGADE							vetro terza luce (dx)	freccia dx	CALOTTA  dx								
KPK32901	NU-NuovoMezzo	RENEGADE							3° stop										
KPK33452	NU-NuovoMezzo	RENEGADE							3° stop										
KPK47335	NU-NuovoMezzo	RENEGADE							BASE ANTENNA										
KT586516	NU-NuovoMezzo	COMPASS							FANALE ANT. SX	MOD LATO SX MOD.  ANT/POST/PARAFANGO POST	MOD COFANO POST	FANALE POST. SX (PA)							
KT603549	NU-NuovoMezzo	COMPASS							MOD LATO DX SUPERIORI ANT/POST/PARAFANGO POST										
KT604021	NU-NuovoMezzo	COMPASS							PARABREZZA	TERGICRISTALLO	MOD LATO SX ANT/POST	FIANCHETTO MOD LATO SX A							
KT604330	NU-NuovoMezzo	COMPASS																	
KT604588	NU-NuovoMezzo	COMPASS							PARABREZZA	MOD lato dx  ANT/POST	corrimano dx								
KT606259	NU-NuovoMezzo	GIULIETTA							MOD LATO DX ANT/POST 	MOD LATO DX PA	MOD COFANO POST	CORRIMANO DX+SX							
KT606310	NU-NuovoMezzo	COMPASS							MOD LATO SX SUPERIORI ANT/POST/PARAFANGO POST										
KT606603	NU-NuovoMezzo	COMPASS							PARABREZZA	MOD LATO SX ANT/POST									
KT606863	NU-NuovoMezzo	COMPASS							MOD COFANO POST (C)	PARABREZZA	Calandra tra cofano e parabrezza	CORRIMANO SX							
KT607086	NU-NuovoMezzo	COMPASS							MOD LATO DX SUPERIORI ANT/POST/PARAFANGO POST	MOD LATO SX P	MOD COFANO POST	3° STOP	FANALE POST DX (PA)						
KT607712	NU-NuovoMezzo	COMPASS																	
KT609825	NU-NuovoMezzo	COMPASS							PARABREZZA	MOD lato sx  ANT/POST/PARAFANGO POST	CORRIMANO SX								
KT621795	NU-NuovoMezzo	COMPASS							MOD LATO SX ANT/POST	PARABREZZA	CORRIMANO SX								
KT626699	NU-NuovoMezzo	COMPASS							MOD lato Sx  ANT/POST/PARAFANGO POST	3° STOP	MOD COFANO POST	FANALE POST SX (PA)	CORRIMANO SX						
KT631164	NU-NuovoMezzo	COMPASS							MOD LATO DX PA	FANALE POST SX (PA)	MOD LATO SX P/PA	3° STOP							
KT631375	NU-NuovoMezzo	COMPASS							 COFANO POST	CALOTTA  SX	MOD LATO DX  ANT/POST/PARAFANGO POST								
KT631396	NU-NuovoMezzo	COMPASS							MOD DC MOD ANT/POST/PARAFANGO POST										
KT631441	NU-NuovoMezzo	COMPASS							PARABREZZA	CALOTTA  DX	MOD LATO DX SUPERIORI ANT/POST/PARAFANGO POST	FANALE POST COFANO POST	MOD COFANO POST						
KT631533	NU-NuovoMezzo	COMPASS							Calandra tra cofano e parabrezza	PARABREZZA	MOD COFANO POST	MOD LATO SX  ANT/POST/PARAFANGO POST							
KT631788	NU-NuovoMezzo	COMPASS							MOD COFANO POST (C)	MOD LATO DX ANT/POST/PARAFANGO POST									
KT632130	NU-NuovoMezzo	COMPASS							LUCE CALOTTA  STACCATA	PARABREZZA	MOD LATO SX MOD. ANT/POST/PARAFANGO POST								
KT632480	NU-NuovoMezzo	COMPASS							FANALE POST DX (PA)	MOD LATO DX SUPERIORI ANT/POST/PARAFANGO POST									
KT634574	NU-NuovoMezzo	COMPASS							MOD DC MOD ANT/POST/PARAFANGO POST	PARABREZZA	Calandra tra cofano e parabrezza								
KT634889	NU-NuovoMezzo	COMPASS							FIANCHETTO MOD LATO SX P	MOD LATO SX SUPERIORI ANT/POST/PARAFANGO POST									
KT635204	NU-NuovoMezzo	COMPASS							PARABREZZA	MOD LATO SX SUPERIORI ANT/POST/PARAFANGO POST	FIAnchetto MOD A SX	MOD COFANO POST							
KT635623	NU-NuovoMezzo	COMPASS							PARABREZZA	MOD LATO DX SUPERIORI ANT/POST/PARAFANGO POST	MOD COFANO POST								LUNOTTO
KT643603	NU-NuovoMezzo	COMPASS							PARABREZZA	MOD LATO SX  ANT/POST/PARAFANGO POST									
KT644411	NU-NuovoMezzo	COMPASS							MOD COFANO POST (C)	3° LUCE LATO SX	FIANCHETTO MOD LATO SX POST	MOD LATO SX ANT/POST/PARAFANGO POST	PARABREZZA						LUNOTTO
KT644601	NU-NuovoMezzo	COMPASS							MOD LATO SX ANT/POST	PARABREZZA									
KT644612	NU-NuovoMezzo	COMPASS							MOD LATO DX SUPERIORI ANT/POST/PARAFANGO POST	MOD COFANO POST									
KT644680	NU-NuovoMezzo	COMPASS							MOD lato dx  ANT/POST/PARAFANGO POST										
KT648873	NU-NuovoMezzo	COMPASS							MOD LATO DX SUPERIORI ANT/POST/PARAFANGO POST	MOD COFANO POST	FANALE POST DX (PORTELLONE)								
KT648918	NU-NuovoMezzo	COMPASS							PARABREZZA	MOD LATO DX  P/PA									
KT648941	NU-NuovoMezzo	COMPASS							PORTELLONE MOD (C)	3° STOP	MOD LATO DX P/PA								
KT660308	NU-NuovoMezzo	COMPASS							FANALE POST SX (PA)	MOD LATO SX SUPERIORI ANT/POST/PARAFANGO POST									
KT660368	NU-NuovoMezzo	COMPASS							MOD LATO DX SUPERIORI ANT/POST/PARAFANGO POST	PARABREZZA	FANALE ANT DX	MOD LATO SX A							
KT684643	NU-NuovoMezzo	COMPASS							MOD lato dx  ANT/POST/PARAFANGO POST	PARABREZZA	MOD COFANO POST	MOD TETTO	LUCE CALOTTA  STACCATA						
KT684730	NU-NuovoMezzo	COMPASS							PARABREZZA	MOD LATO DX SUPERIORI ANT/POST/PARAFANGO POST	fanale post DX (PA)								
KT685134	NU-NuovoMezzo	COMPASS							MOD COFANO POST	MOD LATO SX FARO POST SX (PA)									
KT690910	NU-NuovoMezzo	COMPASS							MOD LATO DX SUPERIORI ANT/POST/PARAFANGO POST	FANALE POST DX	3° STOP								
KT691031	NU-NuovoMezzo	COMPASS							Calandra tra cofano e parabrezza	MOD lato sx  ANT/POST/PARAFANGO POST									
KT691034	NU-NuovoMezzo	COMPASS							MOD LATO DX ANT/POST	FANALE POST DX (PA)	MOD COFANO POST								
KT691038	NU-NuovoMezzo	COMPASS							MOD lato Sx  ANT/POST/PARAFANGO POST	MOD COFANO POST	PARABREZZA	FANALE POST. SX (PA)							
KT691578	NU-NuovoMezzo	COMPASS							TERGICRISTALLO ANT.	MOD lato sx  ANT/POST/PARAFANGO POST									
KT710678	NU-NuovoMezzo	COMPASS							PARABREZZA	FIANCHETTO MOD LATO DX POST	MOD LATO DX  P/PA	FANALE POST DX (PA)							
KT730229	NU-NuovoMezzo	COMPASS							Calandra tra cofano e parabrezza	MOD.  COFANO POST	MOD LATO DX MOD. ANT/POST	FIANCHETTO MOD LATO DX A	CORRIMANO SX	FANALE POST DX (PA)					
KT730242	NU-NuovoMezzo	COMPASS							MOD COFANO POST 										
KT756671	NU-NuovoMezzo	COMPASS							PARABREZZA	MOD COFANO POST 	FANAle post SX (PA)	MOD LATO SX ANT/POST/PARAFANGO POST							
KT756848	NU-NuovoMezzo	COMPASS							PARABREZZA	MOD LATO DX  ANT/POST/PARAFANGO POST									
KT756902	NU-NuovoMezzo	COMPASS							MOD lato dx  ANT/POST/PARAFANGO POST	MOD COFANO POST	fianchetto MOD dx	CORRIMANO DX							
KT773249	NU-NuovoMezzo	COMPASS																	
KW567639	NU-NuovoMezzo	WRANGLER																	
PJ37364	NU-NuovoMezzo	RENEGADE																	
PJ52086	NU-NuovoMezzo	RENEGADE							FANALE POST SX										
W594854	NU-NuovoMezzo	WRANGLER							PARABREZZA										
